ＴＫＣ,会社コード,業種名,公開有無,フリガナ,和文社名,旧会社名,英文社名,郵便番号,住所,電話,ＵＲＬ,営業所等,事業内容,仕入先,販売先,ブランド,取引銀行,設立年月,資本金,lat,lon
10388866,760,機械,未上場,エピロックジャパン,エピロックジャパン（株）,アトラスコプコ（株）（2017.11）,Ｅｐｉｒｏｃ　Ｊａｐａｎ　ＫＫ,224-0057,神奈川県横浜市都筑区川和町５０－１,045-933-6315,https://www.epiroc.com/,［営業所］　仙台，関東，大阪伊丹，福岡　［工場］　横浜,土木鉱山機械（油圧式削岩機，油圧クローラドリル等）および建設機器の開発・製造・販売,Ｅｐｉｒｏｃのグループ各社,虎乃門建設機械，ヤマモトロックマシン,クローラドリル（ＰｏｗｅｒＲＯＣ：パワーロック）,三井住友,197906,495,35.5184558,139.5525155
10066017,850,自動車販売,未上場,ビーエムダブリュー,ビー・エム・ダブリュー（株）,,ＢＭＷ　Ｊａｐａｎ　Ｃｏｒｐ．,100-6622,東京都千代田区丸の内１－９－２　グラントウキョウサウスタワー,03-6259-8000,https://www.bmw.co.jp/,［ＢＭＷ　ＧＲＯＵＰ　Ｔｏｋｙｏ　Ｂａｙ］　東京都江東区青海２－２－１５　［松尾新車整備センター］　千葉県山武市松尾町富士見台２０８－９７　［リージョナル・ディストリビューション・センター］　印西（千葉県印西市）　［ＢＭＷグループアカデミー］　幕張（千葉市），神戸（神戸市）,乗用車およびモーターサイクルの輸入・販売・サービス，部品，アクセサリーの輸入・販売,,,ＢＭＷ，ＭＩＮＩ,,198109,"10,140",35.67896330000001,139.7673717
10056273,900,電気機器,未上場,エービービーニホンベーレー,ＡＢＢ日本ベーレー（株）,日本ベーレー（株）（2008.1）,ＡＢＢ　Ｂａｉｌｅｙ　Ｊａｐａｎ　Ｌｔｄ．,410-2193,静岡県伊豆の国市原木５１１,055-949-3311,https://new.abb.com/jp,［工場］　本社　［国内事務所］　（札幌）札幌市中央区北２条西２－３２，（仙台）仙台市青葉区中央１－２－３，（東京）品川区大崎２－１－１，（名古屋）名古屋市中村区名駅３－２８－１２，（関西）神戸市中央区磯上通り８－３－５，（福岡）福岡市博多区博多駅中央街８－１,火力・原子力発電，船舶，各種プロセス用自動制御装置，関連計測機・周辺機器およびシステムの設計・製造・販売・輸出入,,,ＡＢＢ,,197103,500,35.0682796,138.9395703
10662773,960,ゴム製品,未上場,バンドーショルツ,バンドー・ショルツ（株）,,ＢＡＮＤＯ　ＳＣＨＯＬＴＺ　Ｃｏｒｐ．,675-0104,兵庫県加古川市平岡町土山字コモ池の内６４８,078-943-3933,,［工場］　本社,工業用コンベヤベルトの製造・輸入・販売,ＣｏｎｔｉＴｅｃｈ　Ｔｒａｎｓｐｏｒｔｂａｎｄｓｙｓｔｅｍｅ　ＧｍｂＨ，バンドー化学,バンドー化学,フレックスベル,三井住友,197604,50,34.7285782,134.8891261
10062156,1000,化学,未上場,ビーエーエスエフジャパン,ＢＡＳＦジャパン（株）,,ＢＡＳＦ　Ｊａｐａｎ　Ｌｔｄ．,103-0022,東京都中央区日本橋室町３－４－４　ＯＶＯＬ日本橋ビル３階,03-5290-3000,https://www.basf.com/jp/,［事務所］　大阪，名古屋，他　［工場・研究所］　四日市，尼崎，横浜，古河，山武,化学品，高性能製品，機能性材料，農業関連製品の輸入・製造・販売,,自動車，建設，医療品・医療機器，電機・電子，包装材，パーソナル・ホームケア，農業・食品業界,ＢＡＳＦ,,194910,‥,35.688285,139.7734349
10050441,1040,医薬品,未上場,バイエルヤクヒン,バイエル薬品（株）,,Ｂａｙｅｒ　Ｙａｋｕｈｉｎ，　Ｌｔｄ．,530-0001,大阪府大阪市北区梅田２－４－９　ブリーゼタワー,06-6133-7000,https://www.pharma.bayer.jp/,［支社］　東京　［支店］　北海道，東北，関東甲信越，東京・南関東，東海・北陸，関西，中四国，九州　［工場］　滋賀県甲賀市　［物流センター］　大阪，埼玉県三郷市,医薬品，医療機器の開発・輸入・製造・販売,,メディパルホールディングス，アルフレッサホールディングス，スズケン，バイタルケーエスケー,イグザレルト，アイリーア，ヤーズフレックス，ジビイ，スチバーガ，ニュベクオ，イオパミロン，他,三井住友，みずほ,197304,"2,273",34.6986205,135.4939534
10869490,1045,化学卸売,未上場,テサテープ,テサテープ（株）,バイヤスドルフジャパン（株）（1999.4）,ｔｅｓａ　ｔａｐｅ　Ｋ．Ｋ．,108-0072,東京都港区白金１－２７－６　白金高輪ステーションビル８階,03-6833-2300,https://www.tesa.com/ja-jp/,［営業所］　大阪，名古屋，東京　［配送センター］　愛知（小牧市）　［研究所］　東京,工業用粘着テープ（マスキングテープ，両面テープ，ワイヤーハーネステープ，電気絶縁テープ，レーザーラベル）の輸入販売,ｔｅｓａ　ＳＥ（独），ｔｅｓａ　Ｐｌａｎｔ　Ｓｐａｒｔａ　ＬＬＣ（米），ｔｅｓａ　Ｐｌａｎｔ（Ｓｕｚｈｏｕ）Ｃｏ．，Ｌｔｄ．,センコーアドバンス，槌屋，富士工業，エスエステクナ，矢崎部品，トラスコ中山，日産自動車,ＢＤＦ，テサ：ｔｅｓａ（工業用テープ）,◎三井住友，ドイツ，みずほ,196411,300,35.6438865,139.7341877
10388916,1060,精密機器,未上場,ベックマンコールター,ベックマン・コールター（株）,ベックマン（株）（1998.11）,Ｂｅｃｋｍａｎ　Ｃｏｕｌｔｅｒ，　Ｋ．Ｋ．,135-0063,東京都江東区有明３－５－７　ＴＯＣ有明ウエストタワー,03-6745-4704,http://www.beckmancoulter.co.jp/,［オフィス］　大阪，札幌，盛岡，仙台，さいたま，名古屋，金沢，岡山，広島，福岡　［事業場］　三島,理化学・生化学用分析，臨床検査機器，診断用試薬等の輸入および販売，臨床検査機器の製造・販売・輸出，微生物学検査事業,Ｂｅｃｋｍａｎ　Ｃｏｕｌｔｅｒ，Ｉｎｃ（米），ベックマン・コールター三島（日）,官公庁，大学，病院，研究所，化学食品・薬品等製造大企業各社,,三菱ＵＦＪ,197707,300,35.6321298,139.7881255
10388924,1110,精密機器卸売,未上場,ボシュロムジャパン,ボシュロム・ジャパン（株）,,Ｂ．Ｌ．Ｊ．Ｃｏｍｐａｎｙ，　Ｌｔｄ．,140-0013,東京都品川区南大井６－２６－２　大森ベルポートＢ館,03-5763-3700,https://www.bausch.co.jp/,,コンタクトレンズ，レンズケア用品および健康食品，眼内レンズ，眼科用手術機器，眼科用医薬品の製造，輸入，販売,,,,,197806,100,35.5878698,139.7312884
10388932,1130,総合卸売,未上場,ブルーベルジャパン,ブルーベル・ジャパン（株）,,Ｂｌｕｅｂｅｌｌ　Ｊａｐａｎ　Ｌｔｄ．,107-0062,東京都港区南青山２－２－３　南青山Ｍ－ＳＱＵＡＲＥ７階,03-5413-1120,https://www.bluebellgroup.com/,［支社］　大阪　［商品センター］　千葉,香水，化粧品，婦人服，時計，雑貨等の輸入卸売および小売,ダビドフ，ブルガリ，インターパルファム，ＳＥＱＵＥＬ，Ｃａｒｖｅｎ，Ｏｇｍｏｒｅ，ＨＦＣ　Ｐｒｅｓｔｉｇｅ，Ｚａｎｏｔｔｉ，ｏｒｉｅｎｔｉｓ　ｇｏｕｒｍｅｔ，Ｒｏｓｅｆｉｅｌｄ,（百貨店）三越伊勢丹，高島屋，そごう・西武，小田急，阪急阪神，他,ＬＡＮＶＩＮ，Ｃａｌｖｉｎ　Ｋｌｅｉｎ，ＮＵＥＸ，ＢＡＬＭＡＮ，ＭＡＮＯＬＯ　ＢＬＡＨＮＩＫ，ＤＡＶＩＤＯＦＦ，ＺＩＮＯ　ＰＬＡＴＩＮＵＭ,◎三菱ＵＦＪ，三井住友，みずほ，りそな，クレディ・アグリコル,197610,100,35.6714214,139.7241871
10388940,1150,医薬品,未上場,ロシュダイアグノスティックス,ロシュ・ダイアグノスティックス（株）,ベーリンガー・マンハイム（株）（1998.8）,Ｒｏｃｈｅ　Ｄｉａｇｎｏｓｔｉｃｓ　Ｋ．Ｋ．,108-0075,東京都港区港南１－２－７０　品川シーズンテラス,03-6634-1111,https://www.roche-diagnostics.jp/,［支店］　札幌，仙台，大宮，東京，名古屋，大阪，広島，福岡,診断薬，診断薬機器，バイオケミカルの製造および輸入・販売,Ｒｏｃｈｅ　Ｄｉａｇｎｏｓｔｉｃｓ　Ｉｎｔｅｒｎａｔｉｏｎａｌ，他,東邦薬品，スズケン，アルフレッサ，正晃，他,コバスシリーズ（生化学・免疫・血液凝固検査・遺伝子検査・臨床現場即時検査），ベンタナシリーズ（病理学的検査），ライトサイクラーシリーズ（研究用リアルタイムＰＣＲ装置）,シティ,196907,"2,500",35.6324899,139.743003
10388957,1170,輸送機器,未上場,ボルグワーナーモールスシステムズジャパン,ボルグワーナー・モールスシステムズ・ジャパン（株）,ボルグワーナー・モールステック・ジャパン（株）（2015.7）,ＢｏｒｇＷａｒｎｅｒ　Ｍｏｒｓｅ　Ｓｙｓｔｅｍｓ　Ｊａｐａｎ　Ｋ．Ｋ．,518-0495,三重県名張市八幡１３００－５０,0595-64-4111,https://www.borgwarner.com/home,［支社］　横浜，名古屋　［工場］　本社，三重県伊賀市,自動車用チェーンの製造・販売・輸出入,,国内自動車メーカー,,,198410,490,34.6558166,136.101196
10030799,1195,食料品,上場,ビーアールサーティワンアイスクリーム,Ｂ－Ｒ　サーティワン　アイスクリーム（株）,,Ｂ－Ｒ　３１　ＩＣＥ　ＣＲＥＡＭ　ＣＯ．，ＬＴＤ．,141-0021,東京都品川区上大崎３－１－１　目黒セントラルスクエア,03-3449-0331,https://www.31ice.co.jp/,［営業所］　東京３，愛知，大阪，福岡　［工場］　富士小山，神戸三木　［直営店］　５　［ＦＣ店］　１２２４,アイスクリーム５８％，シャーベット３％，スペシャリティデザート１７％，ロイヤリティー収入１７％，店舗用設備賃貸収入５％,三菱商事,ＦＣ店舗,サーティワン,りそな，三井住友，みずほ，三井住友信，三菱ＵＦＪ,197312,735,35.6334096,139.7167483
10116036,1300,専門店,未上場,ブルックスブラザーズジャパン,（株）ブルックスブラザーズジャパン,,Ｂｒｏｏｋｓ　Ｂｒｏｔｈｅｒｓ　（Ｊａｐａｎ），　Ｌｔｄ．,141-0021,東京都品川区上大崎３－１－１　ＪＲ東急目黒ビル１７階,－,http://www.brooksbrothers.co.jp/,,紳士，婦人服ならびに洋品雑貨の小売および卸売,,,,,197902,125,35.6326864,139.7157508
10388999,1340,精密機器卸売,未上場,ブルカージャパン,ブルカージャパン（株）,ブルカー・バイオスピン（株）（2018.1）,Ｂｒｕｋｅｒ　Ｊａｐａｎ　Ｋ．Ｋ．,221-0022,神奈川県横浜市神奈川区守屋町３－９,045-522-7700,https://www.bruker.com/,［営業所］　大阪，東京，横浜　［デモラボ］　横浜,化学分析機器の輸入販売，メンテナンス・開発，デモンストレーション・科学研究,ブルカー社（スイス，ドイツ）,国公立大学，官公庁所属研究機関，一部上場企業各社,ブルカー,,197509,480,35.4831105,139.6527817
10389013,1370,機械卸売,未上場,ビューラー,ビューラー（株）,ビューラー・ミアグ（1990）,Ｂｕｈｌｅｒ　Ｋ．Ｋ．,222-0033,神奈川県横浜市港北区新横浜３－２２－１１,045-477-3000,https://www.buhlergroup.com/,［サービスステーション］　朝霞，福岡，霧島，倉敷，名古屋，大阪，札幌,食品機械，ダイカスト，化学プロセスエンジニアリング製品機械およびその機械部品の輸出入販売，カスタマーサービスおよびプラント設計，施工,ビューラーＡＧ（スイス）,明治，日清製粉，太陽製粉，アサヒビール，サッポロビール，ロッテ，江崎グリコ，ＪＦＥエンジニアリング，コスモエンジニアリング,ビューラー,みずほ,197401,250,35.5127916,139.6183993
10389047,1430,不動産,未上場,イリス,イリス（株）,（株）イリス（2016.7）,Ｉｒｉｓｕ　Ｋ．Ｋ．,141-0021,東京都品川区上大崎３－１２－１８　イリスビル,03-3443-4111,https://www.illies.com/,,事務所ビルの賃貸,,（株）イリス,,三菱ＵＦＪ,196012,100,35.6295952,139.7188232
10389070,1530,食料品,未上場,キャンベルジャパン,キャンベルジャパン（株）,,Ｃａｍｐｂｅｌｌ　Ｊａｐａｎ　Ｉｎｃ．,150-0012,東京都渋谷区広尾５－８－１４　１０階,03-5447-6500,http://www.campbellsoup.co.jp/,［営業所］　那覇市港町２－１７－１３琉球物流（株）本社ビル３階,家庭用スープ，業務用スープ，菓子の輸入・製造・販売およびマーケティング・開発,キャンベル・スープ社，ＳＳＫセールス，アーノッツ・ビスケット,ＳＳＫセールス，コストコジャパン，三菱食品，西友，三菱商事,キャンベルスープ，アーノッツ　ティムタム，ペパリッジファーム　クッキー，他,みずほ，三井住友，三菱ＵＦＪ,198306,450,35.6482982,139.7213905
10389096,1570,精密機器卸売,未上場,カールツァイス,カールツァイス（株）,,Ｃａｒｌ　Ｚｅｉｓｓ　Ｃｏ．，　Ｌｔｄ．,102-0083,東京都千代田区麹町２－１０－９　住友不動産麹町ビル４号館,0570-02-1310,https://www.zeiss.co.jp/microscopy/,［営業所］　大阪（大阪府吹田市垂水町３－３５－２２），名古屋（名古屋市名東区宝が丘２５），福岡（福岡市中央区荒戸２－１－５大濠公園ビル７階），仙台（仙台市青葉区本町１－１２－７三共仙台ビル５階）,半導体フォトマスク評価装置・修正装置，カメラレンズ，三次元測定機，双眼鏡，各種顕微鏡等の輸入輸出販売,Ｃａｒｌ　Ｚｅｉｓｓ　ＡＧ，Ｃａｒｌ　Ｚｅｉｓｓ　ＩＭＴ　ＧｍｂＨ，Ｃａｒｌ　Ｚｅｉｓｓ　ＳＭＴ　ＧｍｂＨ，Ｃａｒｌ　Ｚｅｉｓｓ　Ｓｐｏｒｔｓ　Ｏｐｔｉｃｓ　ＧｍｂＨ,東京精密，和研薬，東陽テクニカ，東京貿易テクノシステム，池田理化，薬研社，コシナ，ヨドバシカメラ，ディーティーファインエレクトロニクス，大日本印刷，キオクシア,カールツァイス,みずほ，三菱ＵＦＪ，三井住友,196109,494,35.6854205,139.7405341
10389112,1580,機械卸売,未上場,カルピジャーニジャパン,カルピジャーニ・ジャパン（株）,,Ｃａｒｐｉｇｉａｎｉ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,154-0005,東京都世田谷区三宿１－１３－１　東映三宿ビル４階,03-5779-8850,https://www.carpigiani.com/jp/,,アイスクリーム・ソフトクリーム・食品機械の輸入・卸売,カルピジャーニ（伊），他,ホシザキグループ，フジマック，タニコー，他,カルピジャーニ，ＩＦＩ,◎三井住友，りそな，インテーザ・サンパオロ，他,198009,50,35.6471634,139.6767013
10009496,1620,機械,未上場,キャタピラージャパン,キャタピラージャパン合同会社,キャタピラージャパン（株）（2017.4）,Ｃａｔｅｒｐｉｌｌａｒ　Ｊａｐａｎ　ＬＬＣ,220-0012,神奈川県横浜市西区みなとみらい３－７－１　ＯＣＥＡＮ　ＧＡＴＥ　ＭＩＮＡＴＯ　ＭＩＲＡＩ　１２階,045-682-3800,https://www.caterpillar.com/ja/,［事業所］　明石ＴＥＬ０７８－９４３－２１１１,油圧ショベル，ブルドーザ，ホイールローダ，道路舗装機械等の製造・販売,キャタピラー社，三菱重工業，三菱商事，プレス工業，神戸シャーリング，カヤバ工業，他,官公庁，鹿島，大成建設，清水建設，大林組，他,ＣＡＴ，ＣＡＴＥＲＰＩＬＬＡＲ（キャタピラー），三菱，ＲＥＧＡ，ＦＩＧＡ,◎三菱ＵＦＪ，三菱ＵＦＪ信，横浜，みずほ，シティ,196311,"1,000",35.4580313,139.6343461
10389138,1680,その他卸売,未上場,シャネル,シャネル合同会社,シャネル（株）（2018.12）,Ｃｈａｎｅｌ　Ｇ．Ｋ．,104-0061,東京都中央区銀座３－５－３　シャネル銀座ビルディング,03-5159-5519,https://www.chanel.com/,［支店］　大阪　［物流センター］　船橋,香水・化粧品，女性用衣類・ハンドバッグ等の輸入販売,,百貨店他,シャネル,,198010,"6,204",35.6729966,139.7665258
10108181,1690,農林水産,未上場,ジャクソンラボラトリージャパン,ジャクソン・ラボラトリー・ジャパン（株）,日本チャールス・リバー（株）（2021.10）,Ｔｈｅ　Ｊａｃｋｓｏｎ　Ｌａｂｏｒａｔｏｒｙ　Ｊａｐａｎ，　Ｉｎｃ．,222-0033,神奈川県横浜市港北区新横浜３－１７－６　イノテックビル１１階,045-474-9330,https://www.crj.co.jp/,［カスタマーサポートセンター］　横浜市港北区新横浜３－１７－６イノテックビル１１階　［営業本部］　東日本（横浜市港北区），西日本（大阪府高槻市）　［飼育センター］　厚木（神奈川県厚木市），日野（滋賀県蒲生郡），筑波（茨城県石岡市）,ＳＰＦ・ＶＡＦラット，マウス等実験用動物の飼育・販売他,,,,みずほ，三菱ＵＦＪ,197212,490,35.5112229,139.6178746
10389179,1820,レジャー・娯楽,未上場,クラブメッド,（株）クラブメッド,（株）地中海クラブ（2006.4）,Ｃｌｕｂ　Ｍｅｄ　Ｋ．Ｋ．,141-0032,東京都品川区大崎５－６－２　都五反田ビル西館２階,－,https://www.clubmed.co.jp/,［支店］　西日本（大阪），中部（名古屋），九州（福岡），北海道（札幌）,海外のクラブメッドリゾートへの送客業務，国内におけるクラブメッドツアーの企画・主催,日本航空，マレーシア航空，タイ航空，Ｇ・インドネシア航空，他,一般顧客,ＣＬＵＢ　ＭＥＤ,三井住友,197906,80,35.6226805,139.7238915
10047439,1830,食料品,未上場,ニホンコカコーラ,日本コカ・コーラ（株）,日本飲料工業（株）（1958.3）,Ｃｏｃａ－Ｃｏｌａ　（Ｊａｐａｎ）　Ｃｏ．，　Ｌｔｄ．,150-0002,東京都渋谷区渋谷４－６－３,03-5466-8000,https://www.cocacola.co.jp/,［工場］　守山,清涼飲料およびその原液の製造・販売,,,コカ・コーラ，ジョージア，アクエリアス，綾鷹，い・ろ・は・す，他,,195706,"3,600",35.6582851,139.7122993
