業種名,和文社名,住所,業種,会社コード,公開有無,フリガナ,旧会社名,英文社名,郵便番号,電話,ＵＲＬ,営業所等,事業内容,仕入先,販売先,ブランド,取引銀行,設立年月,資本金,lat,lon
精密機器卸売,ファロージャパン（株）,愛知県長久手市熊田７１６,その他非製造業,220140,未上場,ファロージャパン,,Ｆａｒｏ　Ｊａｐａｎ　Ｉｎｃ．,480-1144,0561-63-1411,http://www.faro.com/japan.aspx,,ポータブル３次元測定装置などの販売,,,,,200008,10,35.1731589,137.0261149
鉄鋼,ＩＫＫショット（株）,愛知県東海市南柴田町ヌノ割４１２－４,製造業,209005,未上場,アイケイケイショット,,ＩＫＫ　Ｓｈｏｔ　Ｃｏ．，　Ｌｔｄ．,476-0001,052-604-1215,http://www.ikkshot.com/,［営業所］　（東京）東京都中央区銀座１－１８－６井門銀座一丁目ビル５階ＴＥＬ０３－３５６２－６１３１,スチールショット・スチールグリットの製造・販売,,,ＩＫＫ,,199710,300,35.0643524,136.89901
輸送用機器卸売,フォルクスワーゲン　グループ　ジャパン（株）,愛知県豊橋市明海町５－１０,その他非製造業,12900,未上場,フォルクスワーゲングループジャパン,フォルクスワーゲン・アウディ日本（株）（1996.9）,ＶＯＬＫＳＷＡＧＥＮ　Ｇｒｏｕｐ　Ｊａｐａｎ　Ｋ．Ｋ．,441-8550,0532-44-2222,http://www.volkswagen.co.jp/,［豊橋インポートセンター］　愛知県豊橋市明海町５－１０　［東京事務所］　東京都品川区北品川４－７－３５御殿山トラストタワー１８階　［フォルクスワーゲンカスタマーセンター］　ＴＥＬ０１２０－９９３－１９９,ＶＷグループ車および補修用部品の輸入・卸売など,Ｖｏｌｋｓｗａｇｅｎ　ＡＧ,全国のフォルクスワーゲン正規販売店,ＶＷ，アウディ，ベントレー，ランボルギーニ,三井住友，三菱東京ＵＦＪ，バイエリッシェ・ヒポ・フェラインス，他,198307,"23,174",34.7049387,137.3170266
化学,東山フイルム（株）,愛知県名古屋市守山区大字中志段味字曲畷２４６０－１,製造業,410359,未上場,ヒガシヤマフイルム,（株）イーテック（1997.7）,ＨＩＧＡＳＨＩＹＡＭＡ　ＦＩＬＭ　ＣＯ．，　ＬＴＤ．,463-0002,052-736-2273,http://www.hynt.co.jp/,,工業用フィルムの加工,,,,,194905,"1,087",35.2459073,137.0288712
他サービス,ボディコート・ジャパン（株）,愛知県名古屋市西区牛島町６－１　名古屋ルーセントタワー４０階,その他非製造業,381417,未上場,ボディコートジャパン,,Ｂｏｄｙｃｏｔｅ　Ｊａｐａｎ　Ｋ．Ｋ．,451-6040,052-912-5518,http://www.bodycote.co.jp/,,熱処理受託加工・接合等,,,,,200803,‥,35.1749679,136.8810893
その他卸売,（株）チップ　トップ　ジャパン,愛知県名古屋市西区上小田井２－３３８,その他非製造業,12035,未上場,チップトップジャパン,,Ｔｉｐ　Ｔｏｐ　Ｊａｐａｎ　Ｉｎｃ．,452-0821,052-502-3500,http://www.tiptop-japan.co.jp/,［営業所］　大阪，名古屋，埼玉　［商品配送センター］　名古屋,タイヤおよびチューブ用修理資材，関連機器，耐摩耗ゴム，コンベアベルト用ブラシクリーナー，スプレー式ポリウレタン，コーティング材の輸入・販売,シュタールグルーバー社（独）,ブリヂストン，ＳＰＫ，オートバックスセブン，日本カリュウ，新潟テクニカルウレタン，他,ＴＩＰ・ＴＯＰ,十六,197704,100,35.2202983,136.8771936
精密機器卸売,ワルター・ツーリング・ジャパン（株）,愛知県名古屋市千種区萱場１－７－１８　エムラウエストビル,その他非製造業,392561,未上場,ワルターツーリングジャパン,,Ｗａｌｔｅｒ　Ｔｏｏｌｉｎｇ　Ｊａｐａｎ　ＫＫ,464-0086,052-723-5800,http://www.walter-tools.com/,,各種精密切削工具の販売・サービス事業,,,,,200806,240,35.1819873,136.9435743
ホテル,名古屋ヒルトン（株）,愛知県名古屋市中区栄１－３－３,その他非製造業,208304,未上場,ナゴヤヒルトン,,Ｎａｇｏｙａ　Ｈｉｌｔｏｎ　Ｃｏ．，　Ｌｔｄ．,460-0008,052-204-2765,http://www.hilton.co.jp/,,ホテル業,,,,,198609,"1,000",35.1678202,136.8944763
電気機器卸売,富士ゼロックス愛知（株）,愛知県名古屋市中区栄２－１－１　日土地名古屋ビル８階,その他非製造業,220713,未上場,フジゼロックスアイチ,愛知ゼロックス（株）（2006.4）,Ｆｕｊｉ　Ｘｅｒｏｘ　Ａｉｃｈｉ　Ｃｏ．，　Ｌｔｄ．,460-0008,052-201-7141,http://www.fujixerox.co.jp/acx/,,複写機，プリンタ等事務用機械，器具の卸売,,,,,198103,30,35.1677187,136.8980627
輸送機器,日本デュラ（株）,愛知県名古屋市中区栄２－９－３０　栄山吉ビル５階,製造業,403104,未上場,ニッポンデュラ,,ＤＵＲＡ－Ｊａｐａｎ　Ｋ．Ｋ．,460-0008,052-205-8848,http://www.duraauto.com/,,自動車部品の製造,,,,,200808,‥,35.1670356,136.8980248
その他卸売,エッジキャム（株）（登記社名　ＥｄｇｅＣＡＭ（株））,愛知県名古屋市中区丸の内１－１７－２９　ＮＦＣ丸の内ビル１０階,その他非製造業,220730,未上場,エッジキャム,,Ｅｄｇｅ　ＣＡＭ　Ｋ．Ｋ．,460-0002,052-219-8555,http://www.edgecam.jp/,,ＣＡＤ・ＣＡＭの輸入・販売・技術サポート,,,,,200303,20,35.1735691,136.8958692
化学卸売,ドルケン・ジャパン（株）,愛知県名古屋市中区丸の内１－７－６　丸の内テラス４階,その他非製造業,381239,未上場,ドルケンジャパン,,Ｄｏｅｒｋｅｎ　Ｊａｐａｎ　ｋ．ｋ．,460-0002,052-205-8453,http://www.doerken-mks.de/,,防錆・防食用塗料の販売，技術サポート,,,,,200701,15,35.1759087,136.8952011
繊維・衣服卸売,シャーノントレーディング（株）,愛知県名古屋市中区丸の内１－９－１２,その他非製造業,381250,未上場,シャーノントレーディング,,Ｓｈａｎｏｎ　Ｔｒａｄｉｎｇ　Ｃｏ．，　Ｌｔｄ．,460-0002,052-231-2031,http://www.shanon-trading.co.jp/,,高級ホテル用リネン用品の企画・開発・提供,,,,,200012,10,35.1744817,136.8963952
旅行,インサイドジャパン・ツアーズ・リミテッド（日本支店）,愛知県名古屋市中区丸の内３－１９－１　ライオンビル４階,その他非製造業,381140,未上場,インサイドジャパンツアーズリミテッドニッポンシテン,,ＩｎｓｉｄｅＪａｐａｎ　Ｔｏｕｒｓ　Ｌｔｄ．,460-0002,052-968-1135,http://www.insidejapantours.com/,,旅行業,,,,,200711,－,35.1745273,136.9065895
機械卸売,ディサ（株）,愛知県名古屋市中区丸の内３－５－１０　住友商事名古屋丸の内ビル,その他非製造業,208049,未上場,ディサ,ジョージフィッシャーディサ（株）（2001.1）,ＤＩＳＡ　Ｋ．Ｋ．,460-0002,052-950-7260,http://www.disagroup.com/,［営業所］　東京,鋳造プラント，機器，設備，その他ＤＩＳＡ社製品の輸入販売・アフターサービス,ＤＩＳＡグループ各社,日立金属，栗田工業，センシュウ，マツダ，曙ブレーキ工業，スズキ，アイシン新和,ＤＩＳＡＭＡＴＩＣ,みずほ，三井住友，三菱東京ＵＦＪ,195805,110,35.1778862,136.9068099
輸送用機器卸売,クーパースタンダードオートモーティブジャパン（株）,愛知県名古屋市中区錦２－１７－２８　ＣＫ１５伏見ビル８階,その他非製造業,392742,未上場,クーパースタンダードオートモーティブジャパン,,Ｃｏｏｐｅｒ　Ｓｔａｎｄａｒｄ　Ａｕｔｏｍｏｔｉｖｅ　Ｊａｐａｎ　Ｉｎｃ．,460-0003,052-218-2721,http://www.cooperstandard.com/,,自動車向けの燃料系，冷却系配管などの流体部品，シール部品の技術，販売サポート業務,,,,,200611,38,35.168944,136.8977785
情報・システム・ソフト,日本物流開発（株）,愛知県名古屋市中区錦２－８－１１　セイノー伏見ビル,情報通信･メディア,205089,未上場,ニッポンブツリュウカイハツ,,Ｊａｐａｎ　Ｌｏｇｉｓｔｉｃｓ　Ｄｅｖｅｌｏｐｍｅｎｔ　Ｃｏ．，　Ｌｔｄ．,460-0003,052-222-0881,http://www.jld.co.jp/,,戦略的物流システムのコンサルティング，情報システムの設計と開発，ソリューション販売,,,,,199005,300,35.171636,136.898043
繊維・衣服卸売,日本金陵貿易（株）,愛知県名古屋市中区千代田１－５－１１　ブラウンハウス２０６,その他非製造業,208802,未上場,ニッポンキンリョウボウエキ,,Ｊａｐａｎ　Ｊｉｎｌｉｎｇ　Ｔｒａｄｉｎｇ　Ｃｏ．，　Ｌｔｄ．,460-0012,052-252-8166,,,繊維原料，繊維製品および日用品雑貨などの販売と輸出入,,,,,199309,20,35.1610001,136.913791
食料品卸売,日本バイオコン（株）,愛知県名古屋市中川区昭和橋通３－２３－１,その他非製造業,200859,未上場,ニッポンバイオコン,,Ｂｉｏｃｏｎ　（Ｊａｐａｎ）　Ｌｔｄ．,454-0852,052-661-8105,http://www.biocon.co.jp/,,食品原料，医薬・化粧品原料，試薬類の輸出入，減圧乾燥機の販売,,,,,197803,15,35.1246101,136.8679489
医薬品,テバ製薬（株）,愛知県名古屋市中村区太閤１－２４－１１,製造業,420089,未上場,テバセイヤク,大洋薬品工業（株）（2012.4）,Ｔｅｖａ　Ｐｈａｒｍａ　Ｊａｐａｎ　Ｉｎｃ．,453-0801,052-459-5001,http://www.teva-seiyaku.com/,,医薬品の製造販売および受託事業,,,,,194902,430,35.1671255,136.8804832
輸送機器,エバースペッシャー・カテム・ジャパン（株）,愛知県名古屋市中村区名駅３－１６－２２　ダイヤビルディング１号館７階,製造業,380862,未上場,エバースペッシャーカテムジャパン,カテムジャパン（株）（2009.2）,Ｅｂｅｒｓｐａｅｃｈｅｒ　ｃａｔｅｍ　Ｊａｐａｎ　Ｌｔｄ．,450-0002,052-565-1991,http://www.eberspaecher.com/,,自動車電気ヒーターの開発・製造・販売,,,,,200509,‥,35.1733132,136.88537
輸送用機器卸売,ベルホフ（株）,愛知県名古屋市中村区名駅３－１６－２２　名古屋ダイヤビル一号館２階,その他非製造業,392688,未上場,ベルホフ,,Ｂｏｅｌｌｈｏｆｆ　Ｋ．Ｋ．,450-0002,052-589-9371,http://www.boellhoff.com/,,アルミニウム製や樹脂製のネジの販売,,,,,200709,10,35.1733132,136.88537
電気機器,東芝シュネデール・インバータ（株）,愛知県名古屋市東区葵１－１９－３０,製造業,209423,未上場,トウシバシュネデールインバータ,,Ｔｏｓｈｉｂａ　Ｓｃｈｎｅｉｄｅｒ　Ｉｎｖｅｒｔｅｒ　Ｃｏｒｐ．,461-0004,052-217-9041,http://www.inverter.co.jp/,［事業所］　（三重）三重県三重郡朝日町縄生２１２１（株）東芝三重工場内，（東京）東京都府中市東芝町１（株）東芝府中事業所内＃２４－１階,産業用インバータの企画・開発・設計・製造・試験,,,,,199801,490,35.1714045,136.9198752
輸送機器,ジェンテックス・ジャパン（株）,愛知県名古屋市東区泉１－１２－３５,製造業,220056,未上場,ジェンテックスジャパン,,Ｇｅｎｔｅｘ　Ｊａｐａｎ，　Ｉｎｃ．,461-0001,052-954-2630,http://www.gentex.com/,,米国Ｇｅｎｔｅｘ　Ｃｏｒｐ社製自動防眩ミラーの日本市場における業務支援,,,,,199803,72,35.1767797,136.9087172
他小売,（株）新陽石油,愛知県名古屋市熱田区金山町１－７－５　住友生命金山第二ビル,その他非製造業,220768,未上場,シンヨウセキユ,,Ｓｈｉｎｙｏ　Ｓｅｋｉｙｕ，　（Ｋ．Ｋ．）,456-0002,052-681-6511,http://www.shinyo-Sekiyu.co.jp/,,石油製品の販売,,,,,198303,10,35.142125,136.9000522
自動車販売,愛知日産自動車（株）,愛知県名古屋市熱田区桜田町２０－３４,その他非製造業,381556,未上場,アイチニッサンジドウシャ,,Ａｉｃｈｉ　Ｎｉｓｓａｎ　Ｍｏｔｏｒ　Ｃｏ．，　Ｌｔｄ．,456-8523,052-872-5023,http://www.aichinissan.co.jp/,,自動車，同部品の販売,,,,,200604,90,35.1402214,136.9120513
化学卸売,近藤商事（株）,愛媛県今治市波止浜６－５０,その他非製造業,200337,未上場,コンドウショウジ,,Ｋｏｎｄｏ　Ｓｈｏｊｉ　Ｋ．Ｋ．,799-2118,0898-41-9910,,,高圧ガス，溶接用機材，機械工具の販売,,,,,196902,10,34.1032155,132.974208
化学,コスモ松山石油（株）,愛媛県松山市大可賀３－５８０,製造業,381608,未上場,コスモマツヤマセキユ,,ＣＯＳＭＯ　ＭＡＴＳＵＹＡＭＡ　ＯＩＬ　ＣＯ．，　ＬＴＤ,791-8516,089-951-1111,http://www.cosmo-matsuyama-oil.co.jp/,,石油化学製品の製造・販売,,,,,198202,"3,500",33.8444502,132.7078358
ガラス・土石,ポッターズ・バロティーニ（株）,茨城県つくば市下河原崎２５４－３６,製造業,12340,未上場,ポッターズバロティーニ,東芝バロティーニ（株）（2001.3）,Ｐｏｔｔｅｒｓ－Ｂａｌｌｏｔｉｎｉ　Ｃｏ．，　Ｌｔｄ．,300-2662,029-847-7483,http://www.pqj.co.jp/,［事務所］　大阪　［工場］　茨城県つくば市，兵庫県宍粟市山崎町,道路用ガラスビーズ，インパクト用ガラスビーズ，大粒ガラスビーズ，プラスチック強化充填用フィラービーズ，その他関連製品の製造・販売,,,バロティーニ,,196609,216,36.0731955,140.0439955
他サービス,長瀬ランダウア（株）,茨城県つくば市諏訪Ｃ２２街区１,その他非製造業,200685,未上場,ナガセランダウア,,Ｎａｇａｓｅ　Ｌａｎｄａｕｅｒ，　Ｌｔｄ．,300-2686,029-839-3322,http://www.nagase-landauer.co.jp/,［営業所］　（大阪）大阪市西区新町１－１－１７ＴＥＬ０６－６５３５－２６７５,被ばく放射線計測サービス,長瀬産業,医療機関，研究教育機関，非破壊検査業界，原子力業界，一般民間企業等,クイクセルバッジサービス,三井住友，筑波,197402,88,36.0585304,140.0566158
化学,（株）エア・リキード・ラボラトリーズ,茨城県つくば市和台２８,製造業,100015,未上場,エアリキードラボラトリーズ,（株）エール・リキード・ラボラトリーズ（1998.2）,Ａｉｒ　Ｌｉｑｕｉｄｅ　Ｌａｂｏｒａｔｏｒｉｅｓ，　（Ｋ．Ｋ．）,300-4247,029-879-0050,http://www.jp.airliquide.com/,,エレクトロニクス，新素材開発など工業ガス等に関する研究・開発,,,,,198602,50,36.1596683,140.0522207
他製造業,日本ポール製造（株）,茨城県稲敷郡阿見町香澄の里４６,製造業,420022,未上場,ニッポンポールセイゾウ,,Ｎｉｈｏｎ　Ｐａｌｌ　Ｍａｎｕｆａｃｔｕｒｉｎｇ　Ｌｔｄ．,300-0315,029-889-0001,http://www.pall.com/Japan/,,精密フィルター製造,,,,,201103,450,36.0121732,140.2465786
機械,松井ワルターシャイド（株）,茨城県古河市駒込９３７－５,製造業,6500,未上場,マツイワルターシャイド,,Ｍａｔｓｕｉ　Ｗａｌｔｅｒｓｃｈｅｉｄ　Ｌｔｄ．,306-0121,0280-75-1321,http://www.m-w.co.jp/,,農業機械用駆動軸の製造および販売,松井製作所，北川鉄工所，新昭和鋼管,クボタ，ヤンマー，三菱農機，井関，ＩＨＩスター，松山，タカキタ，小橋，他,ＭＡＴＳＵＩ－ＷＡＬＴＥＲＳＣＨＥＩＤ，ＭＡＴＳＵＩ－Ｗ,三菱東京ＵＦＪ,198007,60,36.216774,139.8084718
食料品,ジャパンフリトレー（株）,茨城県古河市北利根１４－２,製造業,3480,未上場,ジャパンフリトレー,不二家フリトレー（株）（1990.3）,Ｊａｐａｎ　Ｆｒｉｔｏ－Ｌａｙ　Ｌｔｄ．,306-0213,－,http://www.fritolay.co.jp/,,スナック菓子製造,,,,,197702,490,36.1509048,139.7612147
機械,（株）池貝,茨城県行方市芹沢９２０－５２,製造業,222030,未上場,イケガイ,,Ｉｋｅｇａｉ　Ｃｏｒｐ．,311-3501,0299-55-3111,http://www.ikegai.co.jp/,［営業所］　東京（横浜市鶴見区江ヶ崎町３－４３），名古屋，大阪　［工場］　本社・つくば,工作機械の製造，修理，販売，設置工事,,,,常陽，三菱東京ＵＦＪ,194907,490,36.1559228,140.4480988
機械,三友セミコンエンジニアリング（株）,茨城県坂東市幸神平２５－３　つくばハイテクパークいわい,製造業,229005,未上場,ミトモセミコンエンジニアリング,三友エンジニアリング（株）（2007.6）,Ｍｉｔｏｍｏ　Ｓｅｍｉｃｏｎ　Ｅｎｇｉｎｅｅｒｉｎｇ　Ｃｏ．，　Ｌｔｄ．,306-0608,0297-36-8800,http://www.mitomo-semicon-eng.co.jp/,,めっき装置，機器等の設計・製造・販売,,,,,197600,100,36.0574905,139.9128052
機械卸売,セインジャパン（株）,茨城県守谷市緑１－２－１,その他非製造業,220499,未上場,セインジャパン,,ＣＥＪＮ　ＪＡＰＡＮ　ＣＯＲＰ．,302-0106,0297-21-1971,http://www.cejn.co.jp/,,油圧・空圧機器および自動車用整備機器の輸入・販売,,,,,200007,20,35.9485262,139.967415
電気機器卸売,富士ゼロックス茨城（株）,茨城県水戸市城南２－１－２０　南ウイング水戸ビル７階,その他非製造業,202715,未上場,フジゼロックスイバラキ,茨城ゼロックス（株）（2006.4）,Ｆｕｊｉ　Ｘｅｒｏｘ　Ｉｂａｒａｋｉ　Ｃｏ．，　Ｌｔｄ．,310-0803,029-222-2450,http://www.fujixerox.co.jp/ibx/,,事務用機器の販売・保守,,,,,198803,30,36.3669541,140.4759853
他製造業,３Ｍ　Ｐｕｒｉｆｉｃａｔｉｏｎ（株）,茨城県北茨城市関本町富士ヶ丘８８０－２１　関本工業団地,製造業,100271,未上場,スリーエムプリフィケーション,キュノ（株）（2011.9）,３Ｍ　Ｐｕｒｉｆｉｃａｔｉｏｎ　Ｌｔｄ．,319-1725,0293-46-0901,http://www.cuno.co.jp/,,親会社製フィルター・濾過機装置の販売・輸入，ならびに関連製品の製造・販売,３Ｍ　Ｐｕｒｉｆｉｃａｔｉｏｎ　Ｉｎｃ．（米国）のグループ各社,主要業界大手企業および全国代理店,,三菱東京ＵＦＪ，三井住友,198603,250,36.8692333,140.7056644
情報・システム・ソフト,セネル日本（駐在員事務所）,岡山県岡山市北区幸町８－２９　三井生命岡山ビル９階,情報通信･メディア,403043,未上場,セネルニッポンチュウザイインジムショ,,ＳＥＮＥＲ　ＪＡＰＡＮ　Ｒｅｐｒｅｓｅｎｔａｔｉｖｅ　Ｏｆｆｉｃｅ,700-0903,086-235-3320,http://www.sener.es/,,造船設計ソフト開発，販売,,,,,‥,－,34.6610642,133.9195524
電気機器卸売,富士ゼロックス岡山（株）,岡山県岡山市北区今４－１４－２６,その他非製造業,381622,未上場,フジゼロックスオカヤマ,岡山ゼロックス（株）（2006.4）,Ｆｕｊｉ　Ｘｅｒｏｘ　Ｏｋａｙａｍａ　Ｃｏ．，　Ｌｔｄ．,700-0975,086-243-1051,http://www.fujixerox.co.jp/okx/,,事務用機器の販売・保守,,,,,198112,30,34.6439994,133.8915419
建設,アメリカン　エンジニア　コーポレイション,沖縄県宜野湾市大山７－８－１３,その他非製造業,104003,未上場,アメリカンエンジニアコーポレイション,,Ａｍｅｒｉｃａｎ　Ｅｎｇｉｎｅｅｒｉｎｇ　Ｃｏｒｐ．,901-2223,098-897-6781,http://www.aec-japan.co.jp/,［支店］　神奈川県相模原市南区上鶴間本町１－２７－２５ＴＥＬ０４２－７０１－８４７２，青森県三沢市美野原１－２－５,米軍施設の建築および空調設備,,,,,196404,－,26.2856087,127.7448411
石油石炭,南西石油（株）,沖縄県中頭郡西原町字小那覇８５８,その他非製造業,220263,未上場,ナンセイセキユ,,Ｎａｎｓｅｉ　Ｓｅｋｉｙｕ　Ｋ．Ｋ．,903-0210,098-882-9555,http://www.petrobras.com/japan/,,石油製品製造・販売,,,,,196805,"17,125",26.2263692,127.7786489
他小売,沖縄ディーエフエス（株）,沖縄県那覇市字鏡水１５０　那覇空港ビル,その他非製造業,200632,未上場,オキナワディーエフエス,,ＤＦＳ　Ｏｋｉｎａｗａ　Ｋ．Ｋ．,901-0142,098-951-1300,http://www.dfsgalleria.com/,,免税品を含む小売業等,,,,,200105,150,26.2064033,127.6465422
電気機器卸売,富士ゼロックス岩手（株）,岩手県盛岡市中央通１－７－２５　朝日生命盛岡中央通ビル５階,その他非製造業,208560,未上場,フジゼロックスイワテ,岩手ゼロックス（株）（2006.4）,Ｆｕｊｉ　Ｘｅｒｏｘ　Ｉｗａｔｅ　Ｃｏ．，　Ｌｔｄ．,020-0021,019-653-5519,http://www.fujixerox.co.jp/iwx/,,事務機器小売,,,,,199103,30,39.70387150000001,141.1487039
他小売,中川石油（株）,岩手県盛岡市本宮字宮沢３１－２,その他非製造業,220927,未上場,ナカガワセキユ,,Ｎａｋａｇａｗａ　Ｏｉｌ　Ｃｏ．，　Ｌｔｄ．,020-0866,019-658-8852,,,石油製品の販売,,,,,196401,100,39.6869131,141.1241418
化学,岩手スリーエム（株）,岩手県北上市北工業団地３－１７,製造業,202464,未上場,イワテスリーエム,,Ｉｗａｔｅ　３Ｍ　Ｌｔｄ．,024-0192,0197-66-4500,http://www.mmm.co.jp/iwate/,,粘着テープ・シート，医薬品，医薬部外品，化粧品，医療用具，他医療製品，無機・有機化学製品の製造・販売・輸出入,,住友スリーエム,,三井住友,198604,300,39.3331308,141.1299218
機械卸売,バウアー　コンプレッサー（株）,岩手県北上市流通センター１０－３６,その他非製造業,202596,未上場,バウアーコンプレッサー,,Ｂａｕｅｒ　Ｃｏｍｐｒｅｓｓｏｒｓ　Ｃｏ．，　Ｌｔｄ．,024-0014,0197-68-2251,http://www.bauer.co.jp/,［営業所］　（東京）墨田区江東橋２－９－５－２５０９,コンプレッサー・関連機器の販売,バウアーコンプレッサー（独）,消防，警察，防衛庁，一般産業系,Ｂａｕｅｒ,◎岩手，ドイツ，三井住友,198406,60,39.3147936,141.0987444
